nameOfCamp,amountReached,goalOfCamp,category,dateCreated,peopleDonated,numberOfDays,locationCity,locationState,socialMediaShares,NumberOfFbComments,NumberOfUpdates
Kylo Needs Surgery,$890,"$6,000",Animals," September 23, 2016",13,2,GLENDALE,CA,54000,,
Sweet kitty needs hernia surgery ,$230,$400,Animals," September 24, 2016",12,1,BLOOMSBURG,PA,46000,,1
Animal Kill Shelter Awareness Film,$480,"$2,500",Animals," August 25, 2016",17,1,PORTLAND,ME,624000,1,2
Rags To Royals Rescue,"$6,140",$10.80,Animals," August 23, 2016",151,1,LEICESTER,NC,687000,,1
Gandalf's Medical treatment fund =(,$335,"$3,000",Animals," September 22, 2016",13,3,SOMERSET,NJ,146000,,
Fix Benson's Hips ,"$2,318","$3,000",Animals," September 9, 2016",30,15,MARBLEHEAD,MA,62000,,3
Portland CT Police Dept. K9 Unit,"$3,355","$15,000",Animals," September 14, 2016",37,11,PORTLAND,CT,351000,,1
Rescuing 'Baby',"$1,400","$2,000",Animals," April 18, 2016",25,5,THOUSAND OAKS,CA,682000,,30
Help Save Cassidy,$950,"$30,000",Animals," September 24, 2016",12,1,PHOENIX,AZ,23000,,
Get Tyler Graff to the Olympics,"$2,660","$10,000",Rio Athletes," November 4, 2015",26,10,LOVELAND,CO,626000,,
Help Mac Breathe easy ,"$13,125","$13,000",Animals," March 8, 2016",414,6,STATEN ISLAND,NY,610000,5,10
Zeus' chance at a really great life,"$3,525","$4,000",Animals," July 1, 2016",69,2,DALLAS,TX,1300,1,7
It takes a village to help Janko!,"$5,758","$10,000",Animals," July 25, 2016",154,2,MIAMI,FL,492000,9,14
Save Charley's Heart,"$1,040","$2,800",Animals," September 19, 2016",27,6,DALLAS,TX,195000,,3
Saving Philly,$575,"$8,000",Animals," September 6, 2016",11,18,MARIETTA,GA,73000,,3
Wild Wolves Need Range Riders,"$17,936","$25,000",Animals," February 10, 2016",139,7,JULIAN,CA,425000,2,18
Helping Sarge,"$8,056",$12.50,Animals," April 9, 2015",225,17,PALMER,MA,707000,,1
Save Our Shelter,"$11,430","$10,000",Animals," August 13, 2014",188,25,SHREVEPORT,LA,1600,1,1
The Downtown Dog Rescue Kennel Project  ,"$370,195","$370,000",Animals," July 21, 2013",542,38,PASADENA,CA,4600,3,7
My Dog Needs Your Help,$165,"$2,500",Animals," September 22, 2016",8,2,HAMBURG,PA,100000,1,6
Westchester Dog Park Friends,"$24,488","$35,000",Animals," February 1, 2016",47,7,WESTCHESTER,IL,308000,2,2
Ruth's Rescues,,,Animals," September 17, 2016",18,8,63732,,149000,,4
Beaumont Police K9 Program,"$25,180","$25,000",Animals," April 21, 2016",63,5,BEAUMONT,CA,537000,,4
My Dog Needs Your Help,$165,"$2,500",Animals," September 22, 2016",8,2,HAMBURG,PA,100000,1,6
Lilly the abused pet piggy ,$430,"$1,500",Animals," September 23, 2016",7,2,CEDAR PARK,TX,153000,2,4
Lets Get Max Better,$200,"$1,500",Animals," September 17, 2016",10,8,NEW BRITAIN,CT,14000,1,
Mangoworm Relief for Dogs and Cats,"$3,415","$4,000",Animals," July 13, 2016",87,2,HUNTINGTON BEACH,CA,328000,7,17
Save Chewy's Life,"$6,125","$6,125",Animals," May 26, 2016",75,4,REGO PARK,NY,489000,7,6
Vet costs for Red,$740,"$3,500",Animals," September 13, 2016",33,11,COLLINSVILLE,IL,314000,3,8
Finding/Training A Service Dog,"$1,030","$3,500",Animals," July 2, 2016",43,2,LINCOLN,NE,476000,,
Puff Needs Emergency Surgery ,"$1,621","$4,000",Animals," September 21, 2016",46,4,OLNEY,MD,26000,,
Please Help Us Save Buddy,$655,"$2,000",Animals," July 12, 2016",20,2,WARWICK,RI,337000,5,
Bruno Medical Fund,"$1,595","$2,000",Animals," September 19, 2016",45,5,LOS ANGELES,CA,93000,,1
Help me fight for my dogs,$165,$100,Animals," July 8, 2016",7,2,QUARRYVILLE,PA,90000,,
Hoshi's Surgery Expenses,$635,$750,Animals," September 23, 2016",9,2,HOLLYWOOD,FL,19000,,5
"Help us, so we can help them!","$18,290","$43,000",Animals," February 21, 2016",335,7,BLAIRSTOWN,NJ,270000,5,3
Save family dog and bring her home,$425,"$3,000",Animals," September 15, 2016",16,9,CHELMSFORD,MA,66000,,3
Help Publish A Book I Am Writing:,$490,"$5,000",Animals," September 6, 2016",8,18,BATON ROUGE,LA,197000,,3
Lexi Chooses Life but Needs Help,"$2,550","$5,500",Animals," September 1, 2016",52,24,GREENVILLE,SC,301000,3,8
Help Rescue Captain Ron ,"$5,905","$10,000",Animals," December 11, 2015",79,9,FORT LAUDERDALE,FL,385000,1,3
Eve's Surgery,$755,"$1,000",Animals," August 8, 2016",26,1,JERSEY CITY,NJ,84000,,2
"Lucy's (""Lulu"") cruciate surgeries","$2,355","$7,500",Animals," August 4, 2016",37,1,DALLAS,OR,121000,,4
Loki needs Surgery :(,"$1,480","$2,500",Animals," September 13, 2016",26,11,RICHMOND,VA,120000,,2
Equine Therapy Rescue Horses; HELP!,$951,"$5,000",Animals," September 23, 2016",6,1,OAK VIEW,CA,76000,,3
The Penny Fund,"$3,105","$6,500",Animals," September 6, 2016",96,19,ORLANDO,FL,111000,,5
Bring Chase Home,$210,"$2,000",Animals," September 5, 2016",9,19,LEXINGTON,KY,253000,,
Adopt a Boxer Rescue - Chase,"$1,625","$2,500",Animals," September 20, 2016",21,5,NEW YORK,NY,32000,1,1
Help Us Pay Duke's Medical Bills,$270,"$5,000",Animals," September 20, 2016",8,4,CHICAGO,IL,16000,,2
Help for Ziggy,"$1,050","$1,500",Animals," September 21, 2016",8,3,LANCASTER,SC,77000,,
Justice For RESCUER Katherine Fraze,$880,"$5,000",Animals," August 20, 2016",16,1,MOUNT SAINT FRANCIS,IN,316000,4,3
Sparky medical bills!  Please HELP!,$905,"$20,000",Animals," July 23, 2016",30,2,EAST MEADOW,NY,266000,2,4
Bella's Cancer Fund ,"$1,375","$3,500",Animals," July 22, 2016",22,2,BOLIVIA,NC,302000,,2
Rems Medical Funds ,"$1,800","$4,000",Animals," April 5, 2016",35,5,CHARLOTTE,NC,255000,1,7
Friends of SCAC Rescue Fund,$600,"$5,000",Animals," April 23, 2016",23,5,SPRINGFIELD,IL,252000,,6
Oda's Surgery,"$4,300","$13,000",Animals," January 8, 2016",84,8,PACIFICA,CA,300000,,2
Our Boxer Babies Need Your Help,$280,"$5,000",Animals," September 24, 2016",6,1,KINGSPORT,TN,29000,,1
STARVING MAMA +8 BABIES,"$1,060","$1,000",Animals," July 23, 2016",34,2,FORT LAUDERDALE,FL,298000,1,2
Apollo & Casper's Vet Bills,"$1,435","$5,500",Animals," January 23, 2016",45,8,MERIDIAN,ID,292000,1,4
Please help with Rooks vet bills,$110,"$2,000",Animals," August 7, 2016",5,1,SPOKANE,WA,75000,,4
Raider's Canine Cancer Surgery,$320,"$5,000",Animals," September 19, 2016",6,6,WANTAGH,NY,20000,,
Lina's Lymphoma Fund,"$1,660","$3,050",Animals," August 28, 2016",43,28,West Hartford,CT,231000,1,10
That CanAm Dream Of Mine,$700,$992,Animals," August 21, 2016",18,1,LANDIS,NC,88000,1,4
Help us save Rowdy,$330,$915,Animals," May 11, 2016",17,4,MUSKEGON,MI,154000,3,3
Sissy's Surgery Fund,"$2,295","$5,000",Animals," April 25, 2016",60,5,TUCSON,AZ,272000,3,2
Marley & Me Need Your Help,"$1,025","$3,500",Animals," September 20, 2016",15,4,RALEIGH,NC,41000,1,1
HELP SAVE TANK,"$1,050","$1,000",Animals," March 8, 2016",26,6,FORT LAUDERDALE,FL,245000,1,3
"Veterinary bills for ""Callejera"" ",$760,$500,Animals," May 31, 2015",13,16,ASHEVILLE,NC,146000,,6
Help a hurting rescue,$545,"$3,000",Animals," September 13, 2016",18,11,HIGHGATE CENTER,VT,184000,,11
Lucy Lu's Fight to Recovery ,$915,"$4,000",Animals," July 29, 2016",22,1,DOVER,DE,233000,,
Monticello Paws for Parks,"$9,212","$20,000",Animals," April 13, 2015",45,17,MONTICELLO,MN,188000,1,3
Bela's Lymphoma Medical Fund,"$2,020","$1,500",Animals," September 13, 2016",61,12,NEW HOPE,PA,96000,1,
Bailey's Emergency Medical Care ,$400,$400,Animals," July 11, 2016",12,2,BRONX,NY,232000,,8
Archimedes Needs Help Brain Surgery,"$2,085","$10,000",Animals," September 4, 2016",27,20,ANTIOCH,CA,183000,,3
Help W/Buster's Care,"$1,385","$1,000,000",Animals," June 6, 2016",31,3,SHERMANS DALE,PA,227000,,11
Save toby tribble from tumor,$360,$820,Animals," September 10, 2016",6,14,35325,US,182000,,7
PLEASE HELP MY BABY,$150,$150,Animals," July 17, 2016",7,2,FLINT,MI,235000,4,4
PTSD Therapy dog,$125,"$1,500",Animals," September 24, 2016",4,1,DENVER,CO,58000,,
German Shepherd Live Stream Fund,"$1,940","$3,000",Animals," September 2, 2016",80,22,ROSWELL,GA,128000,,
Saving Beauty and her Babies,"$1,110","$2,000",Animals," December 7, 2015",25,9,HOLLYWOOD,FL,214000,,1
Hope for Harlee!,"$1,335","$4,600",Animals," September 14, 2016",28,10,WINTHROP,MA,168000,,8
Big Bend Wildlife Sanctuary Inc.,$750,"$10,000",Animals," August 17, 2015",15,13,ENTERPRISE,AL,211000,,4
SAVING BROKEN KITTEN,$580,$750,Animals," July 2, 2016",27,2,FORT LAUDERDALE,FL,211000,2,6
Bring Reilly Home,"$1,385","$1,350",Animals," May 12, 2016",28,4,TONAWANDA,NY,209000,,5
Getting Ganesh Back Together,"$4,000","$2,000",Animals," November 9, 2015",41,10,BROOKLYN,NY,208000,,8
Quinn's Battle,$375,"$7,000",Animals," September 23, 2016",5,2,OCALA,FL,35000,2,1
Bucks for Puck! Help fix his heart.,$750,"$5,000",Animals," September 6, 2016",10,19,BUFFALO,NY,69000,,4
Medical Expenses for Butters,$145,"$7,000",Animals," September 6, 2016",4,19,SAN ANTONIO,TX,52000,,1
CANE CORSO EMERGENCY,"$1,160","$1,000",Animals," June 23, 2016",34,3,FORT LAUDERDALE,FL,193000,2,4
Roller Barbuto Sailing - Rio 2016,$600,$19.30,Rio Athletes," December 16, 2015",6,9,ST JOHN,VI,188000,,
Archie needs a new hoof,"$3,307","$1,500",Animals," May 10, 2012",48,53,DERRY,NH,143000,4,2
T Dog needs your help!!! ,"$1,350","$1,600",Animals," September 12, 2016",22,12,OXNARD,CA,142000,,10
Help with Service Dog Training,$180,"$1,000",Animals," February 2, 2016",7,7,DERRY,NH,185000,,1
Ernie's Heart Pet Food Pantry-HGO,"$15,250","$21,000",Animals," July 31, 2015",176,14,ANDERSON,IN,181000,,6
HELP US KEEP OUR DOG!!!!!!!,$285,$650,Animals," September 16, 2016",9,9,COLUMBIA,MO,53000,,1
Oliver's Surgery,$655,"$1,000",Animals," September 20, 2016",7,5,LEXINGTON,SC,24000,,
Help My Support Animal Get a Vest!,$50,$45,Animals," August 20, 2016",6,1,AMHERST,MA,56000,,2
Help Cash Money Walk Again,"$1,720","$3,000",Animals," September 6, 2016",49,19,MINNEAPOLIS,MN,94000,,4
Brooksville Police K-9 Program,"$1,170","$22,000",Animals," May 27, 2016",14,4,BROOKSVILLE,FL,156000,,1
Guinness- from strength to peace,"$1,780","$2,000",Animals," February 23, 2016",62,7,SEATTLE,WA,155000,,7
Bear's Only Chance,"$1,665","$4,500",Animals," September 1, 2016",38,23,WEST OLIVE,MI,111000,,1
Save Rambo's Leg,$330,"$5,000",Animals," September 15, 2016",9,9,GRAND PRAIRIE,TX,70000,,4
Saving Gabriel,"$1,252","$8,788",Animals," July 3, 2016",25,2,CASSELBERRY,FL,152000,,
Feral Cat Colony Fund,$900,"$2,000",Animals," August 19, 2016",12,1,BROOKLYN,NY,73000,,
Help Save Kitty's Eyes,"$3,570","$3,500",Animals," January 17, 2016",107,8,TRAVERSE CITY,MI,150000,7,9
Liam needs surgery  ,"$1,005","$1,500",Animals," May 26, 2016",17,4,INGLESIDE,IL,149000,,17
Isabella's Rhino 'Raiser,"$1,070","$1,000",Animals," April 13, 2016",35,5,CINCINNATI,OH,147000,,
Trident the Cat Recovery Fund,"$5,010","$3,500",Animals," February 15, 2016",118,7,HENDERSON,NV,147000,2,4
Help us save Tulip's leg,$200,"$1,000",Animals," August 25, 2016",8,1,MUSKEGON,MI,69000,,3
LEO-Flint Water  Fundraiser,"$2,126","$3,000",Flint Crisis," October 12, 2015",63,11,FLINT,MI,135000,,
Munchkin needs surgery,$110,"$1,000",Animals," September 22, 2016",3,2,MILWAUKEE,WI,23000,,
Medical bills for Lufian,$190,"$1,000",Animals," September 6, 2016",5,18,PUYALLUP,WA,97000,,5
Sam wants to live-help us save him!,$705,"$1,125",Animals," August 16, 2016",11,1,MEBANE,NC,72000,3,11
Please Help Heidi Walk,$445,"$10,000",Animals," September 18, 2016",10,6,WALNUT CREEK,CA,47000,,1
"Infected dog bite, Cat needs help!",$270,"$3,598",Animals," September 23, 2016",3,1,RENO,NV,16000,,2
Miswaki Brew needs our help! ,"$1,175","$5,000",Animals," June 13, 2016",14,3,JUPITER,FL,124000,,2
Save  deceased daughter's dog Ivan,$125,$125,Animals," January 20, 2016",2,8,LONGBOAT KEY,FL,121000,1,5
Louisiana Flood Relief - Dog Food,$185,"$2,000",Animals," July 17, 2016",6,2,AMELIA,OH,119000,,1
Please help Gizzy,$100,$500,Animals," September 24, 2016",3,1,DALLAS,GA,14000,1,
Help bring good water to Flint MI,$635,"$5,000",Flint Crisis," January 9, 2016",14,8,FRIENDSVILLE,MD,119000,,4
RescuePossumVet,$900,"$2,000",Animals," September 16, 2016",11,9,ATHENS,GA,91000,,3
Odo's Knee Surgery Fund,$135,"$1,550",Animals," September 21, 2016",3,4,DALLAS,TX,10000,,
Help Chase No Face ,"$1,200","$1,000",Animals," April 9, 2016",56,5,ALEXANDRIA,VA,96000,,5
Help4Hercules Orthopedic Surgery,"$1,110","$4,250",Animals," September 11, 2016",21,14,WASHINGTON,DC,96000,,1
Help Me Give Bruce a Home,$500,$500,Animals," August 8, 2016",4,1,YORK,PA,43000,,4
Miracle Acres Shelter Build,$140,"$8,500",Animals," January 15, 2016",3,8,ANDERSON,SC,95000,,4
Help Buddy in his golden years.,$920,"$1,500",Animals," February 22, 2016",14,7,CORONA,CA,95000,,3
Luna's Life Line,"$1,000","$4,000",Animals," June 3, 2016",17,3,SOUTH GLASTONBURY,CT,93000,1,11
Help save Shea the horse,"$1,185","$1,500",Animals," June 21, 2016",27,3,PALM DESERT,CA,91000,,11
Tirzah's Cancer Fund,"$1,785","$3,300",Animals," July 25, 2016",51,2,FISHERS,IN,56000,,
Give Rescue Horses A Chance At Life,$141,"$4,000",Animals," January 18, 2016",5,8,MINNEAPOLIS,MN,91000,,4
Gigi's Heartworm treatment,$800,$800,Animals," June 30, 2016",24,2,DENVER,CO,89000,2,8
Jessica's Guard Dog Fund!,$170,$300,Animals," March 17, 2016",3,6,,,90000,,12
Help Earl Grey,$105,$400,Animals," September 18, 2016",3,6,BERKELEY,IL,58000,1,1
In honor of Love Lutz,$200,$500,Animals," June 15, 2016",5,3,VIENNA,VA,66000,,6
Save the Pooches!!,$275,"$3,000",Animals," August 31, 2016",5,24,SAVANNAH,GA,51000,,1
The Bell Rats,$650,"$1,000",Animals," April 26, 2016",16,5,DALLAS,TX,83000,,2
Col. Potter Cairn Terrier Lucy Liu,$540,"$1,000",Animals," July 30, 2016",11,1,HOUSTON,TX,46000,,
Help with Gunnar's medical expenses,$450,"$6,000",Animals," April 16, 2016",10,5,KENOSHA,WI,80000,1,10
Ecuador's Victims - Build Housing,$910,"$3,000",Ecuador," April 20, 2016",10,5,FAIR LAWN,NJ,80000,,11
Help Save Parvo Puppy Molly,"$1,123","$2,500",Animals," June 17, 2016",31,3,MOORESVILLE,NC,75000,,
Rocky's Life Saving Treatment,$445,$900,Animals," September 13, 2016",11,11,BELLINGHAM,WA,41000,,1
Help Fix My Dogs'  Painful Teeth,$610,"$1,000",Animals," January 7, 2016",11,8,BELEN,NM,73000,,8
Help Us Open First Store!,"$3,260","$20,000",Business," September 15, 2016",31,10,WASHINGTON,DC,151000,,
Help Us From Losing Our Family Farm,"$7,026","$250,000",Business," September 6, 2016",93,19,MOUNT ULLA,NC,1600,6,1
Send Us to SU Global Summit,$285,"$1,000",Business," August 3, 2016",9,1,SAN JOSE,CA,2800,,1
Help Us Produce More Episodes!,"$1,840","$10,000",Business," June 3, 2015",70,16,BROOKLYN,NY,349000,,2
First Barber Expo Show For U.S.,"$1,000","$1,200",Business," August 22, 2016",19,1,DALY CITY,CA,145000,,3
Help us grow our business!,"$2,370","$6,000",Business," March 16, 2015",101,18,BEULAH,MI,1200,1,1
Help us prevent hot car deaths,"$1,200","$5,000",Business," July 28, 2016",4,1,MANOR,TX,238000,,4
Micro-Farm With Us! ,"$1,175","$250,000",Business," January 28, 2014",29,32,GRAHAM,WA,38000,,3
2B...Help us rip the runway in NY!,"$1,385","$5,000",Business," March 6, 2016",22,6,CHICAGO,IL,793000,,21
Help Us Open The Bearded Chef,"$1,040","$4,000",Business," September 14, 2016",10,11,BURTON,OH,158000,1,7
Help Us Protect Our Rights,$775,"$12,000",Business," August 11, 2015",10,13,DENVER,CO,36000,,
Help Us Build the Dulaney Inn,$700,"$15,000",Business," April 8, 2014",5,30,MCKINNEY,TX,202000,,3
Help us buy our dream dog business!,$660,"$2,500",Business," May 22, 2015",11,16,WINNETKA,CA,46000,,3
The Yoga Mat Expansion-FUND US,$490,"$20,000",Business," August 18, 2014",8,25,ORANGE,CA,86000,,3
Help us build the mini pipe!,$10,"$1,500",Business," July 16, 2016",1,2,CUYAHOGA FALLS,OH,97000,,
Help send us to Washington DC ,$200,"$1,500",Business," August 25, 2014",7,25,JACKSONVILLE,FL,75000,,12
Help Us To Finish Our Dream Bakery,$100,"$5,000",Business," June 7, 2016",2,3,LYNNWOOD,WA,64000,,1
Help us open our dream bakery,$15,"$25,000",Business," March 7, 2016",2,6,Edwardsville,PA,107000,,1
Help us Expand our Business,$690,"$15,000",Business," March 29, 2015",8,18,TYLER,TX,63000,,1
Help Us Launch Our Food Truck,$650,"$2,000",Business," October 30, 2014",7,23,BROOKFIELD,WI,84000,,3
Goodfellow's Tonsorial Parlor,"$5,250","$5,000",Business," August 8, 2015",55,13,COLUMBUS,OH,501000,,12
YC Catering Food Truck Dream!,"$1,065","$15,000",Business," May 16, 2016",13,4,SACRAMENTO,CA,431000,,5
WV VAPE Tax Lawsuit ,$90,"$10,000",Business," September 23, 2016",3,2,CHARLESTON,WV,188000,,1
Love Me Well ,$480,"$1,000",Business," September 10, 2016",14,15,ALEXANDRIA,VA,90000,,1
The Benjamin Beer Co. Racine Launch,"$2,975","$5,000",Business," July 9, 2015",48,14,RACINE,WI,276000,1,7
Wissahickon Brewing Company,"$3,550","$25,000",Business," May 23, 2016",25,4,PHILADELPHIA,PA,167000,,
Save a Life,"$50k goal",,Business," September 2, 2016",23,,UTICA,MS,,,
Purple Heart Recipients Dream,"$87,246","$300,000",Business," January 31, 2016","1,886",7,UNIVERSAL CITY,TX,22000,41,10
Help Save Metal Haven Grill,"$3,201","$25,000",Business," September 23, 2016",86,2,CHICAGO,IL,1200,3,
Full Moon Freestanding Birth Center,"$9,515","$75,000",Business," June 16, 2016",75,3,SANTA CRUZ,CA,1300,,5
Help the Cannon River Inn,"$3,620","$10,000",Business," September 15, 2016",60,9,WELCH,MN,1100,2,3
Sapphire servers in 2016,"$2,610","$4,950",Business," October 22, 2015",59,11,CLERMONT,FL,1100,,2
Glass city pedal pub,"$2,095","$12,000",Business," September 7, 2016",34,17,TOLEDO,OH,1400,,6
Project ETO,"$7,095","$9,000",Business," January 7, 2016",135,8,FORT WORTH,TX,192000,,3
Giuseppe's Employee Relief Fund,"$20,685","$10,000",Business," June 25, 2016",95,3,PISMO BEACH,CA,1700,1,4
,,,Business," July 11, 2016",26,2,Graveney Ward,ENG,16000,,
Buying Local Skate Park ,$535,$78.50,Business," August 17, 2016",14,1,ORLANDO,FL,441000,2,1
